index,date,time,province,confirmed,released,deceased,month
2769,2020-06-30,0,Gyeongsangnam-do,11,128,0,june
2770,2020-06-30,0,Jeju-do,4,16,0,june
2754,2020-06-30,0,Seoul,1312,985,7,total
2755,2020-06-30,0,Busan,154,142,3,total
2756,2020-06-30,0,Daegu,6906,6700,189,total
2757,2020-06-30,0,Incheon,341,290,1,total
2758,2020-06-30,0,Gwangju,44,32,0,total
2759,2020-06-30,0,Daejeon,117,44,1,total
2760,2020-06-30,0,Ulsan,55,50,1,total
2761,2020-06-30,0,Sejong,50,47,0,total
2762,2020-06-30,0,Gyeonggi-do,1207,931,23,total
2763,2020-06-30,0,Gangwon-do,65,54,3,total
2764,2020-06-30,0,Chungcheongbuk-do,65,60,0,total
2765,2020-06-30,0,Chungcheongnam-do,167,150,0,total
2766,2020-06-30,0,Jeollabuk-do,27,21,0,total
2767,2020-06-30,0,Jeollanam-do,24,19,0,total
2768,2020-06-30,0,Gyeongsangbuk-do,1389,1328,54,total
2769,2020-06-30,0,Gyeongsangnam-do,134,128,0,total
2770,2020-06-30,0,Jeju-do,19,16,0,total
